ward_1,hh_number,head_gender,households_no,people_no,own_dogs,dog_no,dogs_vacc,fenced,fence_restrain,shelter,rabies_aware
Kiptuiya,168,female,2,8,no,,,,,,1
Kiptuiya,169,male,4,4,yes,3,0,yes,yes,yes,0
Sangalo,170,male,5,30,yes,3,0,yes,no,yes,0
Sangalo,171,female,1,1,no,,,,,,1
Kiptuiya,172,female,1,8,no,,,,,,0
Kiptuiya,173,male,2,5,no,,,,,,1
Kiptuiya,174,female,3,3,no,,,,,,0
Sangalo,175,male,3,8,no,,,,,,1
Sangalo,176,female,2,15,no,,,,,,1
Kiptuiya,177,female,6,20,yes,5,0,yes,no,no,1
Kiptuiya,178,male,1,4,yes,2,0,yes,no,yes,1
Sangalo,179,male,1,11,yes,3,0,yes,no,no,1
Kiptuiya,180,male,2,8,no,,,,,,1
Sangalo,181,male,1,4,no,,,,,,1
Sangalo,182,male,2,5,no,,,,,,1
Sangalo,183,male,2,12,yes,1,0,yes,no,no,0
Kiptuiya,184,female,2,5,yes,1,0,yes,no,yes,1
Sangalo,185,female,4,10,yes,2,1,no,,yes,1
Kiptuiya,186,female,1,9,yes,2,0,yes,no,yes,1
Sangalo,187,male,1,9,no,,,,,,0
Kiptuiya,188,female,1,7,no,,,,,,1
Kiptuiya,189,female,2,39,no,,,,,,0
Sangalo,190,male,2,6,no,,,,,,1
Sangalo,191,male,1,8,yes,2,0,yes,no,no,0
Chepterwai,192,female,1,7,no,,,,,,1
Kiptuiya,193,male,2,12,no,,,,,,1
Kiptuiya,194,male,1,4,yes,1,0,yes,yes,yes,0
Sangalo,195,male,2,6,yes,1,0,yes,no,no,1
Sangalo,196,male,1,8,yes,3,0,yes,no,no,1
Chepterwai,197,male,1,7,yes,2,0,no,,no,0
Kiptuiya,198,male,1,4,no,,,,,,0
Kiptuiya,199,female,1,2,no,,,,,,1
Sangalo,200,male,4,12,yes,5,0,no,,yes,1
Chepterwai,201,female,1,5,yes,2,0,yes,no,no,1
Sangalo,202,male,1,7,no,,,,,,1
Chepterwai,203,female,1,2,no,,,,,,1
Sangalo,204,male,1,4,yes,2,0,yes,no,no,1
